Betreiber,Anzeigename (Karte),Strasse,Hausnummer,Adresszusatz,Postleitzahl,Ort,Kreis/kreisfreie Stadt,Bundesland,Breitengrad,Laengengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichtung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4,Steckertypen5,P5 [kW],Public Key5,Steckertypen6,P6 [kW],Public Key6
Citywatt GmbH,Citywatt GmbH,Maldfeldstrasse,2a,,21077.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.430462,9.934827,2022-08-10,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A03420004754533BA01683630F18238FD7D1331B2D92AADEFCB2829E4013B7B084EA82B17650201ECE1F316321E91234044C4CBF6B4112D896BEAF68A747DAB9ECF7648F6,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A03420004252AD4E76CFA9EC8A2BCD326B9EA30059D16ED6B6CF021FE32DE4CDB50445BCCDF343647BC961E3DB6EF937D5CC7CF6CAEF7480E726DE74A1A6C0066A45156CB,,,,,,,,,,,,
Citywatt GmbH,Citywatt GmbH,Maldfeldstrasse,2a,,21077.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.430462,9.934688,2022-08-10,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A03420004F949A95830D861B66F170A044DD3579A6698BB1AE3CC2417B150CD25A97C8FB21670AAE9C587F9EBCEB5AAA28F9F4A7C024FF2B29AA054565CBE72742BC88ADB,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A03420004D05CB8D8F8FA41AAFC3BB9ADB53051127D29BC462FCDA5050787E10F600680479CC273C50421E38E7864C6C73DDE2C0F9CC329186A201851FF1104961E0EE067,,,,,,,,,,,,
Citywatt GmbH,Citywatt GmbH,Maldfeldstrasse,2a,,21077.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.430472,9.934591,2022-08-10,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A03420004A4C3F30B405A54A53C67D5BC7E16A9F858836A1ADEB715FF986DD4FCF270C57A1EC80A2BECEF9CCDC5F4B11FDC2D11BE762BD9CCD2B94D6F390EE6CA957973B2,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A034200046D8E014E92241D8195219F38AD7F4EE74146642BAD022328C527B12BDC8141183A2AAFB962832186DD219EA0ECF587353C367057F467B710A8C08053917D9908,,,,,,,,,,,,
Citywatt GmbH,Citywatt GmbH,Maldfeldstrasse,2a,,21077.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.430472,9.934478,2022-08-10,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A03420004D1AD1A65230A2B0FDF3B0F78F2063A156A27D9C8F53FCC3FC3B92380059902D32978DA7AF43DE68FB8AAA665AD6341106EA2FF4295EF15DA4AEF12C9BBAB2218,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A0342000470A64CAFCF8C122192FA090931A7DA01A95F1CB4978A3E414266D537C6A140D25436ECA07AD935CA9E85FBB803FE0A1686842CB38B23A6D52DB7B57CCCD5DBF1,,,,,,,,,,,,
Allego GmbH,Allego,Maldfeldstr.,2,,21077.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.430259,9.935091,2023-02-09,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A034200040B11DBACAF2D1533E16AB9D9EBC377834F132AFD6EE5B65447C8A19548DEAAAAC88A1BBE829B1EA4F115CCF553B64C6A22A6ED6B4A6C54AD880AD2A2EFD9C3BC,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A03420004B73AF7248FC4579DA588B2A2D93C31BD2AEC19CCF3C04F635B1AB6B7E27A5CFBA570E7FD5D02901B4F59345F9E86CA4C5ECB88BFFF032963BE6E349672901B83,,,,,,,,,,,,
Allego GmbH,Allego,Maldfeldstr.,2,,21077.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.430259,9.935091,2023-02-09,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A03420004F30AF8A4E4D1EC21015C6C8ECD28736C8B11EF5ECCDE2C14EA6EA11DF8E86F326207591DFBF6B83DE950E64D7FD7F218A775DA90E0AF2B8BE43AB47D86111E0F,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A03420004E1EC4C322731451A257FA316CCFF70AD0E113EABA119D6E5495CDAC398E07FF92EABD22C89CAD4A06408F0992A94DE83CACDE6FB546BBA4715C0A909DB179B21,,,,,,,,,,,,
Allego GmbH,Allego,Maldfeldstr.,2,,21077.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.430259,9.935091,2023-02-09,150,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,3056301006072A8648CE3D020106052B8104000A0342000471F1B3808847AC233E76AC7D6A2104A478C3E7290D9D5F3D79ED357E241C6FCD1E754A2D498FB3486D5EC3340EB6E51070823BF5EA892D4C961C890EDC76EE63,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,3056301006072A8648CE3D020106052B8104000A03420004ED90B7071C6645019AC502D7E599A7ED82A3FFAFF2830C153B6D60356BB9D2643F2284945088A98C851C9E1EBBF7E9351CB0A2AD4C8A0CDE8B0CE66BE069E407,,,,,,,,,,,,
E.ON Drive Infrastructure GmbH,E.ON Drive Infrastructure,Raststï¿½tte Harburger Berge Ost,0,,21077.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.424065,9.966476,2020-01-27,300,Schnellladeeinrichtung,4.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,AC Typ 2 Steckdose,22,,,,,,,
E.ON Drive Infrastructure GmbH,E.ON Drive Infrastructure,Raststï¿½tte Harburger Berge Ost,0,,21077.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.424065,9.966476,2020-01-27,300,Schnellladeeinrichtung,4.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,AC Typ 2 Steckdose,22,,,,,,,
E.ON Drive Infrastructure GmbH,E.ON Drive Infrastructure,Raststï¿½tte Harburger Berge West,0,,21077.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.423998,9.962849,2020-01-27,300,Schnellladeeinrichtung,4.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,AC Typ 2 Steckdose,22,,,,,,,
E.ON Drive Infrastructure GmbH,E.ON Drive Infrastructure,Raststï¿½tte Harburger Berge West,0,,21077.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.423998,9.962849,2020-01-27,300,Schnellladeeinrichtung,4.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,AC Typ 2 Steckdose,22,,,,,,,
