_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21500;221;Hummelsbütteler Landstraße N Brombeerweg;;05.01.2004;POINT (10.026181 53.629821);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21501;222;Karlshöher Weg / Berner Allee;;06.02.2020;POINT (10.140855 53.629224);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21502;223;Steilshooper Allee O Eichenlohweg;;05.01.2004;POINT (10.047046 53.608274);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21503;224;Alsterdorfer Damm NW Rathenaustraße;;05.01.2004;POINT (10.001042 53.611679);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21504;225;Hindenburgstraße NW Rathenaustraße;;05.01.2004;POINT (10.009880 53.612099);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21505;226;Sengelmannstraße NW Rathenaustraße;;05.01.2004;POINT (10.018057 53.615230);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21506;227;Tangstedter Landstraße S Am Ochsenzoll (Landesgrenze);;05.01.2004;POINT (10.031249 53.681347);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21507;228;Glashütter Landstraße N Glashütter Stieg (Landesgrenze);;05.01.2004;POINT (10.046513 53.679578);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21508;229;Harksheider Straße NW Kupferteichweg (Landesgrenze);;05.01.2004;POINT (10.055846 53.674391);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21509;230;Meiendorfer Straße / Oldenfelder Stieg;;06.02.2020;POINT (10.156072 53.614416);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21510;231;Halenreie S Buckhorn;;05.01.2004;POINT (10.160632 53.655533);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21511;232;Wellingsbütteler Landstraße / Fuhlsbüttler Straße;;28.03.2019;POINT (10.031257 53.625867);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21512;233;Fuhlsbüttler Straße S Meister-Bertram-Straße;;05.01.2004;POINT (10.039332 53.606193);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21513;234;Poppenbütteler Weg W Lademannbogen;;05.01.2004;POINT (10.031483 53.650028);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21514;235;Langenhorner Chaussee S Am Ochsenzoll (Landesgrenze);;05.01.2004;POINT (10.000681 53.680770);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21515;236;Lemsahler Landstraße N An der Alsterschleife;;05.01.2004;POINT (10.090900 53.672369);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21516;237;Saseler Damm W Poppenbüttler Landstraße;;05.01.2004;POINT (10.087243 53.656150);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21517;238;Bramfelder Chaussee / Wandsbeker Straße;;21.01.2020;POINT (10.068771 53.601286);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21518;239;August-Krogmann-Straße / Am Luisenhof;;20.08.2020;POINT (10.116792 53.607329);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21519;240;Langenhorner Chaussee / Erdkampsweg;;28.03.2019;POINT (10.016164 53.634608);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21520;241;Bramfelder Chaussee / Berner Chaussee;;21.01.2020;POINT (10.080557 53.618960);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21521;242;Jahnring / Saarlandstraße;;28.04.2021;POINT (10.029574 53.600191);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21522;243;Bergstedter Chaussee / Volksdorfer Grenzweg;;01.09.2020;POINT (10.141646 53.675860);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21523;244;Saseler Chaussee / Stadtbahnstraße;;01.09.2020;POINT (10.106954 53.653623);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21524;245;Brombeerweg N Ratsmühlendamm;;05.01.2004;POINT (10.026729 53.627470);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21525;246;Langenhorner Chaussee /  Krohnstieg;;04.02.2020;POINT (10.010330 53.648689);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21526;247;Ahrensburg - Hamburger Straße / K48;;06.02.2020;POINT (10.197342 53.642200);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21527;248;Rahlstedter Straße / Sieker Landstraße;;06.02.2020;POINT (10.167190 53.605895);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21528;249;Wedeler Landstraße W Schulauer Moorweg (Landesgrenze);;05.01.2004;POINT (9.737926 53.585114);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21529;250;Nincoper Straße O Nincoper Ort;;05.01.2004;POINT (9.801270 53.514189);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21530;251;Neuenfelder Hauptdeich / Am Rosengarten;;28.01.2020;POINT (9.810313 53.528933);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21531;252;Schenefelder Landstraße N Holtbarg (Landesgrenze);;05.01.2004;POINT (9.822369 53.584276);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21532;253;Schulauer Weg W Tinsdaler Heideweg (Landesgrenze);;05.01.2004;POINT (9.735546 53.569857);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21533;254;Elbchaussee NW Schenefelder Landstraße;;05.01.2004;POINT (9.822489 53.560904);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21534;255;Schenefelder Landstraße N Elbchaussee;;05.01.2004;POINT (9.823853 53.561182);EPSG:4326
