_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_BEDARFSZAEHLSTELLEN_163789;6112;Fuhlsbüttler Straße / Hartzloh;;19.03.2014;POINT (10.040926 53.601558);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163790;6113;Fuhlsbüttler Straße / Elligersweg;;19.03.2014;POINT (10.040018 53.605180);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163791;6114;Fuhlsbüttler Straße / Schmuckshöhe;;09.02.2016;POINT (10.037234 53.611236);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163792;6115;Fuhlsbüttler Straße / Feuerbergstraße;;06.10.2015;POINT (10.035451 53.614352);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163793;6116;Fuhlsbüttler Straße / Im Grünen Grunde;;09.02.2016;POINT (10.032189 53.623792);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163794;6117;Langenfort / Dennerstraße;;25.09.2012;POINT (10.042516 53.598605);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163795;6118;Buckhorn / Vörn Barkholt;;04.04.2013;POINT (10.162375 53.656766);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163796;6119;Halenreie / Waldweg (Nord);;09.11.2023;POINT (10.160595 53.654194);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163797;6120;"Weg beim Jäger / Obenhauptstraße  ";;20.06.2017;POINT (10.007026 53.623053);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163798;6121;"Am Ochsenzoll / Querpfad  ";;25.10.2012;POINT (10.005430 53.681189);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163799;6122;Querpfad / Stockflethweg;;25.10.2012;POINT (10.005544 53.679624);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163800;6123;Tangstedter Landstraße / Holitzberg;;30.09.2004;POINT (10.028109 53.674875);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163801;6124;Harksheider Straße / Langenhorner Straße;;24.05.2005;POINT (10.074732 53.664002);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163802;6125;Alte Wöhr / Lauensteinstraße;;25.09.2012;POINT (10.040986 53.598466);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163803;6126;Fiersbarg / Lemsahler Landstraße;;25.08.2005;POINT (10.096355 53.690054);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163804;6127;Fiersbarg / Huulkamp;;25.08.2005;POINT (10.095086 53.690776);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163805;6128;Wohldorfer Damm / Rügelsbarg;;06.11.2007;POINT (10.129284 53.682925);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163806;6129;Lottbeker Weg / Rügelsbarg;;06.11.2007;POINT (10.136128 53.680658);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163807;6130;Bergstedter Chaussee / Immenhorstweg;;03.04.2014;POINT (10.120197 53.664592);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163808;6131;Halenreie / Kattjahren;;13.08.2013;POINT (10.161206 53.652193);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163809;6132;Wellingsbüttler Weg / Barkenkoppel;;16.05.2024;POINT (10.080002 53.641051);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163810;6133;Hummelsbütteler Landstraße / Brombeerweg;;20.04.2017;POINT (10.026362 53.629145);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163811;6134;Olendörp / Röntgenstraße;;10.05.2022;POINT (10.018957 53.623725);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163812;6135;Carl-Cohn-Straße / Alsterdorfer Straße;;05.09.2023;POINT (10.005245 53.607275);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163813;6136;Fasanenweg / Schierenberg;;26.02.2019;POINT (10.145965 53.624150);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163814;6137;Meiendorfer Straße / Wildgansstraße;;06.05.2008;POINT (10.163887 53.620984);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163815;6138;Meiendorfer Straße / Schneehuhnkamp;;06.05.2008;POINT (10.161788 53.619422);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163816;6139;Meiendorfer Straße / Starckweg;;06.05.2008;POINT (10.162297 53.619795);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163817;6140;Oldenfelder Straße / Eggerskamp;;02.04.2009;POINT (10.156501 53.610754);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163818;6141;"Fuhlsbüttler Straße / Ausfahrt Friedhof ";;06.10.2015;POINT (10.034288 53.619342);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163819;6142;Fuhlsbüttler Straße / Alsterdorfer Straße;;06.10.2015;POINT (10.033563 53.619996);EPSG:4326
